temperature_c,condition,dims,sites,replicas,sqrt_time_min_half,time_s,ar40_fraction_n,ar40_fraction_mean,ar40_fraction_ci95_low,ar40_fraction_ci95_high,ar40_da2_per_s_n,ar40_da2_per_s_mean,ar40_da2_per_s_ci95_low,ar40_da2_per_s_ci95_high,ar36_fraction_n,ar36_fraction_mean,ar36_fraction_ci95_low,ar36_fraction_ci95_high,ar36_da2_per_s_n,ar36_da2_per_s_mean,ar36_da2_per_s_ci95_low,ar36_da2_per_s_ci95_high,ar36_ar40_da2_ratio_n,ar36_ar40_da2_ratio_mean,ar36_ar40_da2_ratio_ci95_low,ar36_ar40_da2_ratio_ci95_high,xe_fraction_n,xe_fraction_mean,xe_fraction_ci95_low,xe_fraction_ci95_high,xe_da2_per_s_n,xe_da2_per_s_mean,xe_da2_per_s_ci95_low,xe_da2_per_s_ci95_high
500,hydrothermal-2kbar-screen,4x4x6,768,8,2,240.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,4x4x6,768,8,4,960.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,4x4x6,768,8,6,2160.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.0125,0.0,0.037500000000000006,8,2.1305800996398613e-07,0.0,6.391740298919584e-07
500,hydrothermal-2kbar-screen,4x4x6,768,8,8,3840.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.0125,0.0,0.037500000000000006,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,4x4x6,768,8,10,6000.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.0125,0.0,0.037500000000000006,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,4x4x6,768,8,15,13500.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.0125,0.0,0.037500000000000006,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,4x4x6,768,8,20,24000.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.0125,0.0,0.037500000000000006,8,0.0,0.0,0.0
500,hydrothermal-2kbar-screen,4x4x6,768,8,30,54000.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.07142857142857142,0.0,0.21428571428571427,7,3.002771151976283e-07,0.0,9.008313455928847e-07,0,,,,8,0.030357142857142857,0.0,0.07142857142857142,8,1.7718314159690884e-08,0.0,5.315494247907265e-08
500,hydrothermal-2kbar-screen,4x4x6,768,8,40,96000.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.07142857142857142,0.0,0.21428571428571427,7,0.0,0.0,0.0,0,,,,8,0.04172077922077922,0.0,0.08279220779220779,8,5.011549303500342e-09,0.0,1.5034647910501025e-08
500,hydrothermal-2kbar-screen,4x4x6,768,8,50,150000.0,8,0.03645833333333333,0.010416666666666666,0.06770833333333333,8,1.4007502141852759e-08,0.0,2.8963013411475712e-08,7,0.07142857142857142,0.0,0.21428571428571427,7,0.0,0.0,0.0,0,,,,8,0.04172077922077922,0.011363636363636364,0.0823051948051948,8,0.0,0.0,0.0
